UF,Municípios sem vigilância,Óbitos A00–A09,pessoas_ano,Taxa A00-A09 por 100 mil,Municípios na UF,% da UF sem vigilância
PI,98,287.0,6888718.0,4.17,224,43.8
MA,69,277.0,12684671.0,2.18,217,31.8
PA,56,302.0,16032701.0,1.88,144,38.9
MG,38,25.0,1472867.0,1.7,853,4.5
AM,37,466.0,9005555.0,5.17,62,59.7
RO,14,19.0,1831989.0,1.04,52,26.9
PB,14,19.0,938357.0,2.02,223,6.3
GO,9,8.0,420622.0,1.9,246,3.7
PE,8,53.0,1287074.0,4.12,185,4.3
MT,7,23.0,537404.0,4.28,141,5.0
RN,7,30.0,820055.0,3.66,167,4.2
BA,7,55.0,1477832.0,3.72,417,1.7
CE,6,42.0,1477597.0,2.84,184,3.3
TO,3,9.0,467492.0,1.93,139,2.2
AC,3,16.0,380850.0,4.2,22,13.6
AL,2,9.0,321205.0,2.8,102,2.0
RJ,2,10.0,455465.0,2.2,92,2.2
ES,1,1.0,92874.0,1.08,78,1.3
DF,1,634.0,29771234.0,2.13,1,100.0
PR,1,0.0,56854.0,0.0,399,0.3
RS,1,0.0,29350.0,0.0,497,0.2
