Ano,Óbitos totais,Ano preliminar,A00-A09,Infecção respiratória,Mal definidas,A00-A09 por 10 mil óbitos,% mal definidas
2015,1264175,False,4372,78450,71713,34.58,5.67
2016,1309774,False,4793,84068,75869,36.59,5.79
2017,1312663,False,4795,80946,71822,36.53,5.47
2018,1316719,False,4633,81200,70505,35.19,5.35
2019,1349801,False,4875,85095,74972,36.12,5.55
2020,1556824,False,4126,69509,90345,26.5,5.8
2021,1832649,False,4005,69683,94134,21.85,5.14
2022,1544266,False,5003,91377,82597,32.4,5.35
2023,1465610,False,5671,88756,71128,38.69,4.85
2024,1532015,False,7177,103726,69088,46.85,4.51
2025,1534588,True,6885,106372,69172,44.87,4.51
