Recorte,Valor
Municipios no painel,5570.0
Anos de desfecho,9.0
Linhas municipio-ano,50130.0
Pessoas-ano,1880954497.0
Municipio-ano sem vigilancia no ano anterior,9492.0
Obitos: A00-A09 intestinais (hipotese),45060.0
Obitos: J00-J22 respiratorias (subgrupo 1.2),753518.0
Obitos: outras infecciosas do subgrupo 1.2,223903.0
Obitos: I20-I25 isquemicas do coracao,1046920.0
Obitos: V01-Y98 causas externas,1357405.0
Municipios com vigilancia em TODOS os anos,3332.0
Municipios sem vigilancia em TODOS os anos,400.0
Municipios que MUDARAM de estado no periodo,1838.0
Municipio-ano sem vigilancia no ano anterior (%),18.9
Municipios com algum obito: A00-A09 intestinais (hipotese),4488.0
Municipios que mudam E tem obito: A00-A09 intestinais (hipotese),1468.0
Municipios com algum obito: J00-J22 respiratorias (subgrupo 1.2),5563.0
Municipios que mudam E tem obito: J00-J22 respiratorias (subgrupo 1.2),1835.0
Municipios com algum obito: outras infecciosas do subgrupo 1.2,5325.0
Municipios que mudam E tem obito: outras infecciosas do subgrupo 1.2,1765.0
Municipios com algum obito: I20-I25 isquemicas do coracao,5569.0
Municipios que mudam E tem obito: I20-I25 isquemicas do coracao,1837.0
Municipios com algum obito: V01-Y98 causas externas,5570.0
Municipios que mudam E tem obito: V01-Y98 causas externas,1838.0
