Ano,Óbitos por A00–A09,Observado por 10 mil óbitos,Projetado por 10 mil óbitos,Excesso relativo % (óbitos),Observado por milhão de habitantes,Projetado por milhão de habitantes,Excesso relativo % (habitantes),Base do ajuste
2015,4372,34.58,35.45,-2.5,21.6,22.33,-3.3,sim
2016,4793,36.59,35.62,2.7,23.51,22.59,4.1,sim
2017,4795,36.53,35.79,2.1,23.37,22.86,2.2,sim
2018,4633,35.19,35.96,-2.2,22.43,23.13,-3.0,sim
2019,4875,36.12,36.13,-0.1,23.45,23.4,0.2,sim
2020,4126,26.5,36.31,-27.0,19.73,23.68,-16.7,nao
2021,4005,21.85,36.48,-40.1,19.06,23.96,-20.4,nao
2022,5003,32.4,36.65,-11.6,23.73,24.24,-2.1,nao
2023,5671,38.69,36.83,5.1,26.79,24.53,9.2,nao
2024,7177,46.85,37.0,26.6,33.76,24.82,36.0,nao
