UF,Ano,Óbitos por influenza em 60 anos ou mais,População de 60 anos ou mais,Doses de influenza (INF3),Óbitos por 100 mil de 60 anos ou mais,Doses por habitante de 60 anos ou mais
AM,2023,44,372862,505699,11.8,1.356
SE,2023,27,294498,264895,9.17,0.899
AC,2023,7,80387,187650,8.71,2.334
MS,2023,24,417899,317944,5.74,0.761
RR,2023,3,52443,100733,5.72,1.921
PA,2023,42,888869,895263,4.73,1.007
MA,2023,38,805286,169265,4.72,0.21
TO,2023,9,191769,78683,4.69,0.41
CE,2023,50,1306181,838017,3.83,0.642
PI,2023,17,457473,119491,3.72,0.261
RN,2023,19,518910,156172,3.66,0.301
PB,2023,19,611543,92845,3.11,0.152
PR,2023,59,2002790,1406836,2.95,0.702
GO,2023,29,990111,263126,2.93,0.266
RO,2023,6,205227,198707,2.92,0.968
DF,2023,11,405058,123202,2.72,0.304
RS,2023,62,2371583,400193,2.61,0.169
ES,2023,17,672790,194042,2.53,0.288
SC,2023,28,1261013,1413322,2.22,1.121
BA,2023,44,2179226,586821,2.02,0.269
AL,2023,8,423252,98007,1.89,0.232
SP,2023,143,8129891,4983472,1.76,0.613
RJ,2023,52,3296229,926390,1.58,0.281
PE,2023,18,1384121,318896,1.3,0.23
MG,2023,45,3835764,1455311,1.17,0.379
MT,2023,3,454414,442515,0.66,0.974
MS,2024,55,435081,859593,12.64,1.976
SE,2024,29,306213,587317,9.47,1.918
PR,2024,176,2079282,3315223,8.46,1.594
SC,2024,111,1318261,2016059,8.42,1.529
RS,2024,187,2445607,2930841,7.65,1.198
AM,2024,26,389849,1057086,6.67,2.712
MA,2024,53,828156,1594161,6.4,1.925
TO,2024,12,199179,332623,6.02,1.67
GO,2024,62,1031555,1651311,6.01,1.601
AL,2024,26,437892,856259,5.94,1.955
PA,2024,50,923024,2146129,5.42,2.325
PB,2024,34,630338,1084650,5.39,1.721
PI,2024,24,470052,878901,5.11,1.87
SP,2024,425,8419113,11757953,5.05,1.397
ES,2024,35,699859,1279837,5.0,1.829
AC,2024,4,83767,212263,4.78,2.534
CE,2024,64,1351285,2552384,4.74,1.889
RO,2024,10,214904,381143,4.65,1.774
RN,2024,20,539796,961265,3.71,1.781
DF,2024,13,426238,820725,3.05,1.926
BA,2024,67,2248921,3258528,2.98,1.449
MG,2024,103,3967762,6294465,2.6,1.586
RJ,2024,88,3396135,3888597,2.59,1.145
MT,2024,12,475784,920727,2.52,1.935
PE,2024,31,1431590,2215288,2.17,1.547
RR,2024,1,55343,157012,1.81,2.837
AP,2024,1,74228,204753,1.35,2.758
