Causa,Disponibilidade da vacina,Óbitos 2015–2024,2024,2025 (preliminar)
COVID-19,PNI a partir de 2021,718811,5605,2568
Influenza,campanha anual desde 1999,14622,2458,4575
Tuberculose miliar e do SNC,BCG (formas graves na criança),3511,425,491
Hepatite B aguda,PNI (todo o período),2013,179,171
Doença meningocócica,PNI (MenC 2010; ACWY 2020),1531,140,183
Herpes zoster,FORA do PNI (rede privada),1243,181,196
Meningite pneumocócica,PNI (VPC10 2010; VPP23 idosos),1121,182,186
Pneumonia pneumocócica,PNI (VPC10 2010; VPP23 idosos),809,62,85
Sepse pneumocócica,PNI (VPC10 2010; VPP23 idosos),793,81,49
Tétano,PNI (todo o período),696,58,50
Febre amarela,PNI (área ampliada 2017-2020),500,3,41
Varicela,PNI a partir de 2013,408,29,13
Sepse/pneumonia Haemophilus,PNI (Hib 1999),146,31,24
Coqueluche,PNI (dTpa gestante 2014),110,22,9
Meningite por Haemophilus,PNI (Hib 1999),108,16,13
Caxumba,PNI (todo o período),105,15,11
Rubéola e SRC,PNI (todo o período),46,2,7
Rotavírus,PNI a partir de 2006,46,18,2
Difteria,PNI (todo o período),46,4,1
Sarampo,PNI (todo o período),41,0,0
Raiva,PNI (profilaxia pós-exposição),22,2,0
Poliomielite,PNI (todo o período),0,0,0
"Subtotal, sem COVID-19",—,27917,3908,6107
"Subtotal, sem COVID-19 e sem herpes zoster",—,26674,3727,5911
