CID,Sítio,Óbitos,Taxa Q1,Taxa Q4,Razão Q4/Q1
C44,Outras neoplasias malignas da pele,10692,1.54,2.18,1.42
C53,Colo do útero,21682,3.2,4.07,1.27
C76,Outras localizações e mal definidas,16159,2.35,2.88,1.22
C15,Esôfago,25733,3.83,4.01,1.05
C61,Próstata,51507,7.92,8.23,1.04
C16,Estômago,44076,7.0,7.17,1.03
C32,Laringe,14001,2.23,2.07,0.93
C22,Fígado e vias biliares intra-hepáticas,33497,5.57,4.54,0.81
C71,Encéfalo,26190,4.41,3.14,0.71
C26,Outros órgãos digestivos e mal definidos,13130,2.14,1.48,0.69
C34,Brônquios e pulmões,93089,16.09,10.54,0.65
C24,Outras partes das vias biliares,8656,1.54,0.98,0.64
C56,Ovário,13226,2.4,1.39,0.58
C92,Leucemia mieloide,11495,2.07,1.2,0.58
C80,Sem especificação de localização,17248,3.02,1.73,0.57
C50,Mama,60886,11.07,5.85,0.53
C90,Mieloma múltiplo,11845,2.18,1.08,0.5
C25,Pâncreas,40531,7.51,3.69,0.49
C64,Rim,12775,2.38,1.15,0.48
C67,Bexiga,15854,2.91,1.35,0.46
C20,Reto,18340,3.4,1.53,0.45
C85,Linfoma não-Hodgkin,9172,1.71,0.76,0.45
C18,Cólon,46490,9.09,2.97,0.33
