Sítio,Cor ou raça,Óbitos,Taxa padronizada,IC95%
Colo do útero (C53),Indígena,87,10.54,"8,42–13,06"
Colo do útero (C53),Parda,6793,8.0,"7,81–8,19"
Colo do útero (C53),Preta,1224,5.82,"5,49–6,16"
Colo do útero (C53),Branca,5741,5.73,"5,58–5,88"
Colo do útero (C53),Amarela,64,5.26,"3,99–6,99"
Mama (C50),Branca,22306,21.31,"21,03–21,60"
Mama (C50),Preta,3398,16.4,"15,85–16,96"
Mama (C50),Amarela,217,16.14,"13,94–18,77"
Mama (C50),Parda,12680,15.35,"15,09–15,63"
Mama (C50),Indígena,49,6.18,"4,56–8,21"
Próstata (C61),Preta,3898,19.82,"19,20–20,46"
Próstata (C61),Parda,12196,16.57,"16,28–16,87"
Próstata (C61),Branca,16739,16.54,"16,29–16,79"
Próstata (C61),Amarela,199,10.5,"9,04–12,37"
Próstata (C61),Indígena,68,9.16,"7,11–11,63"
Estômago (C16),Amarela,246,7.74,"6,74–8,94"
Estômago (C16),Parda,11616,7.41,"7,27–7,55"
Estômago (C16),Preta,2820,6.88,"6,62–7,14"
Estômago (C16),Branca,13905,6.79,"6,68–6,91"
Estômago (C16),Indígena,79,5.09,"4,02–6,36"
Cólon (C18),Amarela,305,9.96,"8,81–11,32"
Cólon (C18),Branca,18904,9.18,"9,05–9,31"
Cólon (C18),Parda,8005,5.12,"5,01–5,24"
Cólon (C18),Preta,2061,5.02,"4,81–5,25"
Cólon (C18),Indígena,28,1.85,"1,22–2,68"
