capitulo,Capítulo,Óbitos 15–49,Óbitos 60+,Taxa 15–49,Taxa 60+,log2 da razão,IC95%,log2 com 50–59 no jovem
XX,Causas externas de morbidade e de mortalidade,273764,128485,81.8,129.76,0.67,"0,66 a 0,68",0.71
XVII,"Malformações congênitas, deformidades e anomalias cromossômicas",3009,1754,0.9,1.77,0.98,"0,89 a 1,06",0.87
V,Transtornos mentais e comportamentais,13923,32553,4.16,32.88,2.98,"2,95 a 3,01",2.45
III,Doenças do sangue e dos órgãos hematopoéticos e transtornos imunitários,4640,14103,1.39,14.24,3.36,"3,31 a 3,41",3.06
I,Algumas doenças infecciosas e parasitárias,47728,193999,14.26,195.93,3.78,"3,77 a 3,79",3.34
XIII,Doenças do sistema osteomuscular e do tecido conjuntivo,3838,15703,1.15,15.86,3.79,"3,74 a 3,84",3.37
XVIII,"Sintomas, sinais e achados anormais não classificados em outra parte",37237,154490,11.13,156.03,3.81,"3,79 a 3,83",3.32
XI,Doenças do aparelho digestivo,35614,160472,10.64,162.07,3.93,"3,91 a 3,95",3.19
II,Neoplasias (tumores),86255,558175,25.77,563.72,4.45,"4,44 a 4,46",3.52
VI,Doenças do sistema nervoso,16854,141666,5.04,143.07,4.83,"4,81 a 4,85",4.51
IV,"Doenças endócrinas, nutricionais e metabólicas",21943,218903,6.56,221.08,5.08,"5,06 a 5,10",4.14
IX,Doenças do aparelho circulatório,91877,964588,27.45,974.18,5.15,"5,14 a 5,16",4.18
XII,Doenças da pele e do tecido subcutâneo,2385,26982,0.71,27.25,5.26,"5,20 a 5,32",4.41
XIV,Doenças do aparelho geniturinário,10788,152716,3.22,154.23,5.58,"5,55 a 5,61",4.77
X,Doenças do aparelho respiratório,32272,461311,9.64,465.9,5.59,"5,58 a 5,61",4.8
