causabas_3,Sítio,Óbitos 15–49,Óbitos 60+,Taxa 15–49,Taxa 60+,log2 da razão,IC95%,log2 com 50–59 no jovem
C81,Doença de Hodgkin,731,765,0.22,0.77,1.82,"1,67 a 1,97",1.73
C53,Colo do útero,8123,9116,2.43,9.21,1.92,"1,88 a 1,97",1.58
C49,Tecido conjuntivo e outros tecidos moles,1380,2482,0.41,2.51,2.6,"2,51 a 2,70",2.24
C91,Leucemia linfoide,1509,3130,0.45,3.16,2.81,"2,72 a 2,90",2.65
C41,Ossos e cartilagens articulares,1296,3368,0.39,3.4,3.13,"3,04 a 3,23",2.68
C50,Mama,13113,34613,3.92,34.96,3.16,"3,13 a 3,19",2.44
C92,Leucemia mieloide,2582,7116,0.77,7.19,3.22,"3,15 a 3,29",2.89
C83,Linfoma não-Hodgkin difuso,624,1811,0.19,1.83,3.29,"3,16 a 3,43",2.88
C71,Encéfalo,5112,15247,1.53,15.4,3.33,"3,29 a 3,38",2.67
C72,Medula espinhal e outros do sistema nervoso central,721,2166,0.22,2.19,3.34,"3,22 a 3,47",2.71
C55,"Útero, porção não especificada",1077,3431,0.32,3.47,3.43,"3,33 a 3,53",2.76
C38,"Coração, mediastino e pleura",497,1681,0.15,1.7,3.51,"3,37 a 3,66",2.94
C56,Ovário,2169,8330,0.65,8.41,3.7,"3,63 a 3,77",2.82
C85,Linfoma não-Hodgkin,1456,6428,0.44,6.49,3.9,"3,82 a 3,98",3.31
C95,Leucemia de tipo celular não especificado,598,2781,0.18,2.81,3.97,"3,85 a 4,10",3.57
C21,Ânus e canal anal,377,1827,0.11,1.85,4.03,"3,87 a 4,20",3.11
C43,Melanoma maligno da pele,865,4256,0.26,4.3,4.06,"3,95 a 4,16",3.31
C48,Tecidos moles do retroperitônio e peritônio,730,3830,0.22,3.87,4.15,"4,03 a 4,26",3.24
C02,Outras partes da língua,553,2936,0.17,2.96,4.16,"4,03 a 4,30",2.89
C79,Metástase em outras localizações,565,3483,0.17,3.52,4.38,"4,25 a 4,51",3.42
C10,Orofaringe,715,4402,0.21,4.45,4.38,"4,26 a 4,49",2.83
C20,Reto,2063,13090,0.62,13.22,4.42,"4,36 a 4,49",3.36
C16,Estômago,5061,32176,1.51,32.5,4.43,"4,38 a 4,47",3.48
C76,Outras localizações e mal definidas,1731,11533,0.52,11.65,4.49,"4,42 a 4,57",3.39
C19,Junção retossigmoide,586,4192,0.18,4.23,4.6,"4,47 a 4,72",3.48
C06,Outras partes da boca,311,2462,0.09,2.49,4.74,"4,57 a 4,92",3.31
C18,Cólon,4399,35258,1.31,35.61,4.76,"4,71 a 4,81",3.69
C80,Sem especificação de localização,1601,13055,0.48,13.19,4.78,"4,71 a 4,86",3.69
C64,Rim,1140,9466,0.34,9.56,4.81,"4,72 a 4,90",3.63
C78,Metástase em órgãos respiratórios e digestivos,602,5187,0.18,5.24,4.86,"4,74 a 4,99",3.66
C17,Intestino delgado,436,4029,0.13,4.07,4.96,"4,82 a 5,11",3.89
C15,Esôfago,1961,18199,0.59,18.38,4.97,"4,90 a 5,04",3.32
C26,Outros órgãos digestivos e mal definidos,1061,10257,0.32,10.36,5.03,"4,94 a 5,12",3.88
C22,Fígado e vias biliares intra-hepáticas,2411,26117,0.72,26.38,5.19,"5,13 a 5,25",3.89
C54,Corpo do útero,535,5911,0.16,5.97,5.22,"5,09 a 5,35",3.87
C32,Laringe,900,10231,0.27,10.33,5.26,"5,17 a 5,36",3.49
C24,Outras partes das vias biliares,601,6848,0.18,6.92,5.27,"5,15 a 5,39",3.97
C25,Pâncreas,2617,32188,0.78,32.51,5.38,"5,32 a 5,44",3.99
C90,Mieloma múltiplo,654,9483,0.2,9.58,5.61,"5,50 a 5,73",4.05
C44,Outras neoplasias malignas da pele,518,9348,0.15,9.44,5.93,"5,80 a 6,06",4.85
C34,Brônquios e pulmões,4191,77507,1.25,78.28,5.97,"5,92 a 6,01",4.36
C67,Bexiga,370,14421,0.11,14.56,7.04,"6,89 a 7,19",5.38
C61,Próstata,300,49205,0.09,49.69,9.11,"8,95 a 9,28",6.46
