CID,Sítio,Óbitos,Casos,Óbitos/caso Q1,Óbitos/caso Q4,Razão Q4/Q1,Grupo pré-especificado
C76,Outras localizações e mal definidas,16159,20795,0.548,2.824,5.154,não classificado
C26,Outros órgãos digestivos e mal definidos,13130,4853,1.999,9.782,4.893,não classificado
C44,Outras neoplasias malignas da pele,10692,200562,0.042,0.136,3.265,fora do contraste
C16,Estômago,44077,58734,0.658,1.395,2.118,apresentação clínica
C24,Outras partes das vias biliares,8657,3908,2.121,3.189,1.504,não classificado
C22,Fígado e vias biliares intra-hepáticas,33498,10461,3.005,4.497,1.496,apresentação clínica
C53,Colo do útero,21683,63763,0.306,0.456,1.49,depende de detecção
C61,Próstata,51508,137218,0.347,0.515,1.484,depende de detecção
C15,Esôfago,25733,22330,1.041,1.482,1.423,apresentação clínica
C34,Brônquios e pulmões,93090,42054,2.135,2.76,1.293,apresentação clínica
C32,Laringe,14001,15321,0.88,1.089,1.237,não classificado
C71,Encéfalo,26190,14809,1.717,2.003,1.166,apresentação clínica
C20,Reto,18340,36169,0.518,0.543,1.049,depende de detecção
C85,Linfoma não-Hodgkin,9172,5516,1.647,1.714,1.041,não classificado
C25,Pâncreas,40531,13408,3.075,3.199,1.04,apresentação clínica
C67,Bexiga,15854,23364,0.686,0.672,0.98,depende de detecção
C50,Mama,60887,190082,0.333,0.316,0.949,depende de detecção
C64,Rim,12775,15072,0.876,0.83,0.947,depende de detecção
C92,Leucemia mieloide,11495,11810,1.006,0.943,0.938,apresentação clínica
C18,Cólon,46491,79005,0.616,0.553,0.899,depende de detecção
C56,Ovário,13226,21584,0.65,0.561,0.863,não classificado
C90,Mieloma múltiplo,11845,13611,0.916,0.763,0.832,não classificado
C80,Sem especificação de localização,17249,62711,0.312,0.181,0.581,fora do contraste
