CID,Sítio,Natureza,Óbitos,Taxa Q1 (menos vulnerável),Taxa Q4 (mais vulnerável),Contribuição Q1−Q4,% da diferença
C18,Neopl malig do colon,sítio anatômico,46490,9.15,3.02,6.13,16.9
C34,Neopl malig dos bronquios e dos pulmoes,sítio anatômico,93089,16.2,10.65,5.55,15.3
C50,Neopl malig da mama,sítio anatômico,60886,11.04,5.87,5.17,14.2
C25,Neopl malig do pancreas,sítio anatômico,40531,7.55,3.66,3.88,10.7
C20,Neopl malig do reto,sítio anatômico,18340,3.42,1.57,1.84,5.1
C67,Neopl malig da bexiga,sítio anatômico,15854,2.94,1.34,1.6,4.4
C80,Neopl malig s/especificacao de localiz,sítio primário não identificado,17248,3.01,1.72,1.29,3.5
C71,Neopl malig do encefalo,sítio anatômico,26190,4.41,3.15,1.26,3.5
C64,Neopl malig do rim exceto pelve renal,sítio anatômico,12775,2.39,1.14,1.25,3.4
C90,Mieloma mult e neopl malig de plasmocitos,sítio anatômico,11845,2.19,1.08,1.1,3.0
C56,Neopl malig do ovario,sítio anatômico,13226,2.38,1.36,1.02,2.8
C22,Neopl malig figado vias biliares intra-hepat,sítio anatômico,33497,5.54,4.55,1.0,2.7
C85,Linfoma nao-Hodgkin de outr tipos e tipo NE,sítio anatômico,9172,1.71,0.75,0.96,2.6
C92,Leucemia mieloide,sítio anatômico,11495,2.08,1.2,0.88,2.4
C54,Neopl malig do corpo do utero,sítio anatômico,7574,1.41,0.66,0.75,2.1
C26,Neopl malig outr mal def aparelho digestivo,sítio primário não identificado,13130,2.17,1.5,0.67,1.8
C43,Melanoma malig da pele,sítio anatômico,6037,1.13,0.52,0.61,1.7
C24,Neopl malig outr partes e NE vias biliares,sítio anatômico,8656,1.54,0.99,0.55,1.5
C19,Neopl malig da juncao retossigmoide,sítio anatômico,5741,1.04,0.53,0.51,1.4
C91,Leucemia linfoide,sítio anatômico,6243,1.08,0.7,0.38,1.0
C72,Neop mal med esp nerv cran out sist nerv cen,sítio anatômico,3799,0.7,0.32,0.38,1.0
C49,Neopl malig tec conjuntivo e outr tec moles,sítio anatômico,4868,0.87,0.5,0.37,1.0
C10,Neopl malig da orofaringe,sítio anatômico,6952,1.17,0.84,0.33,0.9
C55,Neopl malig do utero porcao NE,sítio anatômico,5527,0.9,0.64,0.26,0.7
C32,Neopl malig da laringe,sítio anatômico,14001,2.25,2.03,0.22,0.6
C02,Neopl malig outr partes e NE da lingua,sítio anatômico,4570,0.77,0.56,0.22,0.6
C83,Linfoma nao-Hodgkin difuso,sítio anatômico,2924,0.52,0.33,0.19,0.5
C38,Neopl malig do coracao mediastino e pleura,sítio anatômico,2622,0.45,0.28,0.16,0.4
C48,Neopl malig tec moles retro- e peritonio,sítio anatômico,5525,0.91,0.75,0.16,0.4
C21,Neopl malig do anus e do canal anal,sítio anatômico,2702,0.46,0.32,0.14,0.4
C62,Neopl malig dos testiculos,sítio anatômico,1470,0.26,0.14,0.12,0.3
C84,Linfomas de celulas T cutaneas e perifericas,sítio anatômico,1017,0.2,0.08,0.12,0.3
C51,Neopl malig da vulva,sítio anatômico,1513,0.27,0.15,0.11,0.3
C81,Doenc de Hodgkin,sítio anatômico,1752,0.31,0.21,0.1,0.3
C13,Neopl malig da hipofaringe,sítio anatômico,1245,0.21,0.13,0.09,0.2
C74,Neopl malig da gland supra-renal,sítio anatômico,1134,0.2,0.12,0.08,0.2
C01,Neopl malig da base da lingua,sítio anatômico,1739,0.3,0.22,0.08,0.2
C07,Neopl malig da gland parotida,sítio anatômico,1069,0.19,0.11,0.08,0.2
C68,Neopl malig de outr orgaos urinarios e NE,sítio anatômico,688,0.13,0.06,0.07,0.2
C45,Mesotelioma,sítio anatômico,385,0.08,0.01,0.07,0.2
C95,Leucemia de tipo celular NE,sítio anatômico,3889,0.61,0.54,0.07,0.2
C05,Neopl malig do palato,sítio anatômico,879,0.16,0.09,0.06,0.2
C82,Linfoma nao-Hodgkin folicular,sítio anatômico,646,0.12,0.06,0.06,0.2
C75,Neopl malig outr gland endocrinas estr relac,sítio anatômico,867,0.16,0.1,0.06,0.2
C70,Neopl malig das meninges,sítio anatômico,577,0.1,0.05,0.05,0.1
C09,Neopl malig da amigdala,sítio anatômico,482,0.09,0.04,0.05,0.1
C57,Neopl malig outr org genitais femin e NE,sítio anatômico,698,0.13,0.08,0.05,0.1
C23,Neopl malig da vesicula biliar,sítio anatômico,3521,0.57,0.52,0.05,0.1
C11,Neopl malig da nasofaringe,sítio anatômico,1118,0.19,0.15,0.05,0.1
C66,Neopl malig dos ureteres,sítio anatômico,303,0.06,0.02,0.04,0.1
C08,Neopl malig outr gland saliv maiores e NE,sítio anatômico,448,0.08,0.05,0.03,0.1
C37,Neopl malig do timo,sítio anatômico,245,0.05,0.02,0.03,0.1
C94,Outr leucemias de celulas de tipo espec,sítio anatômico,459,0.08,0.05,0.02,0.1
C88,Doenc imunoproliferativas malignas,sítio anatômico,172,0.04,0.01,0.02,0.1
C12,Neopl malig do seio piriforme,sítio anatômico,164,0.03,0.01,0.02,0.1
C65,Neopl malig da pelve renal,sítio anatômico,289,0.05,0.03,0.02,0.1
C93,Leucemia monocitica,sítio anatômico,174,0.03,0.02,0.02,0.1
C52,Neopl malig da vagina,sítio anatômico,447,0.07,0.06,0.01,0.0
C17,Neopl malig do intestino delgado,sítio anatômico,5156,0.84,0.83,0.01,0.0
C03,Neopl malig da gengiva,sítio anatômico,142,0.02,0.02,0.0,0.0
C47,Neopl malig nervos perif e sist nerv autonom,sítio anatômico,174,0.03,0.03,0.0,0.0
C86,,sítio anatômico,1,0.0,0.0,0.0,0.0
C00,Neopl malig do labio,sítio anatômico,222,0.04,0.04,-0.0,-0.0
C58,Neopl malig da placenta,sítio anatômico,18,0.0,0.0,-0.0,-0.0
C96,Outr neopl mal e NE tec linf hematop e corr,sítio anatômico,664,0.11,0.11,-0.0,-0.0
C30,Neopl malig cavidade nasal e do ouvido medio,sítio anatômico,454,0.07,0.07,-0.0,-0.0
C46,Sarcoma de Kaposi,sítio anatômico,197,0.03,0.03,-0.0,-0.0
C97,Neopl malig de localiz mult independentes,sítio primário não identificado,160,0.02,0.03,-0.01,-0.0
C31,Neopl malig dos seios da face,sítio anatômico,662,0.1,0.11,-0.01,-0.0
C63,Neopl malig outr org genit masc e NE,sítio anatômico,97,0.01,0.03,-0.02,-0.0
C06,Neopl malig outr partes e partes NE da boca,sítio anatômico,3486,0.55,0.56,-0.02,-0.0
C14,Neop mal out loc mal def labio cav oral far,sítio anatômico,2137,0.32,0.33,-0.02,-0.0
C39,Neop mal out loc mal def ap resp org intrat,sítio primário não identificado,313,0.05,0.07,-0.02,-0.1
C40,Neopl malig ossos/cartilag artic membros,sítio anatômico,612,0.08,0.11,-0.03,-0.1
C33,Neopl malig da traqueia,sítio anatômico,273,0.04,0.07,-0.03,-0.1
C69,Neopl malig do olho e anexos,sítio anatômico,695,0.1,0.13,-0.03,-0.1
C73,Neopl malig da gland tireoide,sítio anatômico,2865,0.45,0.48,-0.03,-0.1
C77,Neopl malig secund e NE gangl linfaticos,sítio primário não identificado,479,0.06,0.12,-0.05,-0.1
C04,Neopl malig do assoalho da boca,sítio anatômico,942,0.14,0.2,-0.06,-0.2
C15,Neopl malig do esofago,sítio anatômico,25733,3.88,3.95,-0.06,-0.2
C41,Neopl malig ossos/cartil artic outr loc e NE,sítio anatômico,5759,0.88,0.96,-0.08,-0.2
C16,Neopl malig do estomago,sítio anatômico,44076,6.97,7.17,-0.2,-0.5
C60,Neopl malig do penis,sítio anatômico,1562,0.2,0.41,-0.21,-0.6
C61,Neopl malig da prostata,sítio anatômico,51507,7.96,8.19,-0.23,-0.6
C79,Neopl malig secund de outr localiz,sítio primário não identificado,4841,0.63,1.07,-0.43,-1.2
C78,Neopl malig secund org respirat e digestivos,sítio primário não identificado,6895,0.94,1.42,-0.48,-1.3
C76,Neopl malig outr localiz e mal definidas,sítio primário não identificado,16159,2.37,2.87,-0.5,-1.4
C44,Outr neopl malig da pele,sítio anatômico,10692,1.54,2.14,-0.6,-1.6
C53,Neopl malig do colo do utero,sítio anatômico,21682,3.14,4.1,-0.97,-2.7
