Ano,Óbitos,População,Taxa bruta,Padronizada (Brasil),Padronizada (OMS),% causa mal definida,% C80 entre os cânceres
2015,205998,202403642,101.78,123.04,84.56,5.63,3.1
2016,211343,203871925,103.66,122.57,84.13,5.76,2.92
2017,217697,205211557,106.08,122.68,83.9,5.43,2.62
2018,223757,206529038,108.34,122.47,83.54,5.33,2.44
2019,231038,207900099,111.13,122.81,83.59,5.53,2.39
2020,224829,209164889,107.49,116.22,78.98,5.78,2.38
2021,230764,210103642,109.83,116.46,79.06,5.11,2.43
2022,238623,210862983,113.16,117.49,79.76,5.32,2.4
2023,249942,211695158,118.07,119.55,81.06,4.82,2.21
2024,259084,212583750,121.87,120.18,81.43,4.48,2.32
