UF,Óbitos,Taxa bruta,Taxa padronizada,Colo do útero (padr.)
RS,61596,177.8,143.9,3.5
SC,31769,141.1,134.7,3.32
PR,48921,138.8,130.3,3.2
RR,1441,70.3,123.3,7.17
SP,181947,128.1,119.0,2.28
CE,30530,108.9,118.1,3.79
MS,9493,109.3,117.9,3.24
ES,14752,117.3,116.1,4.12
RJ,70035,132.3,115.5,3.06
GO,22360,100.9,114.7,3.54
RO,4581,82.5,113.1,4.16
PB,13481,109.6,112.4,3.22
AC,1921,68.8,111.6,8.47
RN,11455,105.7,111.6,4.13
AM,8948,67.9,110.8,9.46
PE,30095,102.5,110.6,4.37
MG,79072,121.8,110.4,2.16
MT,9889,90.4,110.2,4.11
DF,8707,91.6,108.0,3.46
BA,45360,100.2,105.9,3.43
SE,6210,87.1,104.9,3.7
AP,1625,59.6,104.6,5.54
PI,9274,93.6,104.1,5.45
TO,4007,81.4,103.4,4.48
AL,8154,80.2,96.3,4.89
PA,17571,65.5,94.8,6.04
MA,14325,66.1,86.8,6.38
