Ano,Obitos por A00-A09,Observado por 10 mil obitos,Projetado por 10 mil obitos,Excesso relativo % (obitos),Observado por milhao de habitantes,Projetado por milhao de habitantes,Excesso relativo % (habitantes),Base do ajuste
2015,4372,34.58,35.45,-2.5,21.49,22.22,-3.3,sim
2016,4793,36.59,35.62,2.7,23.36,22.45,4.1,sim
2017,4795,36.53,35.79,2.1,23.19,22.68,2.2,sim
2018,4633,35.19,35.96,-2.2,22.22,22.91,-3.0,sim
2019,4875,36.12,36.13,-0.1,23.2,23.15,0.2,sim
2020,4126,26.5,36.31,-27.0,19.48,23.39,-16.7,nao
2021,4005,21.85,36.48,-40.1,18.77,23.63,-20.6,nao
2022,5003,32.4,36.65,-11.6,23.29,23.88,-2.5,nao
2023,5671,38.69,36.83,5.1,26.22,24.13,8.7,nao
2024,7177,46.85,37.0,26.6,32.97,24.38,35.2,nao
