uf_sigla,ano,obitos,pop60,inf3,obitos_100k_60mais,doses_por_60mais
AM,2023,44,372862.0,505699.0,11.8,1.356
SE,2023,27,294498.0,264895.0,9.17,0.899
AC,2023,7,80387.0,187650.0,8.71,2.334
MS,2023,24,417899.0,317944.0,5.74,0.761
RR,2023,3,52443.0,100733.0,5.72,1.921
PA,2023,42,888869.0,895263.0,4.73,1.007
MA,2023,38,805286.0,169265.0,4.72,0.21
TO,2023,9,191769.0,78683.0,4.69,0.41
CE,2023,50,1306181.0,838017.0,3.83,0.642
PI,2023,17,457473.0,119491.0,3.72,0.261
RN,2023,19,518910.0,156172.0,3.66,0.301
PB,2023,19,611543.0,92845.0,3.11,0.152
PR,2023,59,2002790.0,1406836.0,2.95,0.702
GO,2023,29,990111.0,263126.0,2.93,0.266
RO,2023,6,205227.0,198707.0,2.92,0.968
DF,2023,11,405058.0,123202.0,2.72,0.304
RS,2023,62,2371583.0,400193.0,2.61,0.169
ES,2023,17,672790.0,194042.0,2.53,0.288
SC,2023,28,1261013.0,1413322.0,2.22,1.121
BA,2023,44,2179226.0,586821.0,2.02,0.269
AL,2023,8,423252.0,98007.0,1.89,0.232
SP,2023,143,8129891.0,4983472.0,1.76,0.613
RJ,2023,52,3296229.0,926390.0,1.58,0.281
PE,2023,18,1384121.0,318896.0,1.3,0.23
MG,2023,45,3835764.0,1455311.0,1.17,0.379
MT,2023,3,454414.0,442515.0,0.66,0.974
MS,2024,55,435081.0,859593.0,12.64,1.976
SE,2024,29,306213.0,587317.0,9.47,1.918
PR,2024,176,2079282.0,3315223.0,8.46,1.594
SC,2024,111,1318261.0,2016059.0,8.42,1.529
RS,2024,187,2445607.0,2930841.0,7.65,1.198
AM,2024,26,389849.0,1057086.0,6.67,2.712
MA,2024,53,828156.0,1594161.0,6.4,1.925
TO,2024,12,199179.0,332623.0,6.02,1.67
GO,2024,62,1031555.0,1651311.0,6.01,1.601
AL,2024,26,437892.0,856259.0,5.94,1.955
PA,2024,50,923024.0,2146129.0,5.42,2.325
PB,2024,34,630338.0,1084650.0,5.39,1.721
PI,2024,24,470052.0,878901.0,5.11,1.87
SP,2024,425,8419113.0,11757953.0,5.05,1.397
ES,2024,35,699859.0,1279837.0,5.0,1.829
AC,2024,4,83767.0,212263.0,4.78,2.534
CE,2024,64,1351285.0,2552384.0,4.74,1.889
RO,2024,10,214904.0,381143.0,4.65,1.774
RN,2024,20,539796.0,961265.0,3.71,1.781
DF,2024,13,426238.0,820725.0,3.05,1.926
BA,2024,67,2248921.0,3258528.0,2.98,1.449
MG,2024,103,3967762.0,6294465.0,2.6,1.586
RJ,2024,88,3396135.0,3888597.0,2.59,1.145
MT,2024,12,475784.0,920727.0,2.52,1.935
PE,2024,31,1431590.0,2215288.0,2.17,1.547
RR,2024,1,55343.0,157012.0,1.81,2.837
AP,2024,1,74228.0,204753.0,1.35,2.758
