ano,obitos,populacao,taxa_bruta_100k,taxa_padronizada_100k,pct_causa_mal_definida,pct_c80_entre_neoplasias
2015,205963.0,203475683.0,101.22,122.53,5.63,3.1
2016,211313.0,205156587.0,103.0,121.97,5.76,2.92
2017,217668.0,206804741.0,105.25,121.99,5.43,2.62
2018,223729.0,208494900.0,107.31,121.68,5.33,2.44
2019,231016.0,210147125.0,109.93,121.92,5.53,2.39
2020,224805.0,211755692.0,106.16,115.03,5.78,2.38
2021,230740.0,213317639.0,108.17,114.48,5.11,2.43
2022,238606.0,214828540.0,111.07,114.77,5.32,2.4
2023,249929.0,216284269.0,115.56,116.56,4.82,2.21
2024,259065.0,217684462.0,119.01,117.16,4.48,2.32
