ano,faixa_etaria,obitos,populacao,taxa_100k
2015,0-4,611.0,14677159.0,4.16
2016,0-4,663.0,14715112.0,4.51
2017,0-4,645.0,14720776.0,4.38
2018,0-4,638.0,14787557.0,4.31
2019,0-4,601.0,14798332.0,4.06
2020,0-4,540.0,14730311.0,3.67
2021,0-4,620.0,14703281.0,4.22
2022,0-4,589.0,14675523.0,4.01
2023,0-4,549.0,14569055.0,3.77
2024,0-4,533.0,14452355.0,3.69
2015,5-14,1238.0,30665131.0,4.04
2016,5-14,1183.0,30242132.0,3.91
2017,5-14,1090.0,29958536.0,3.64
2018,5-14,1113.0,29719853.0,3.74
2019,5-14,1158.0,29551808.0,3.92
2020,5-14,1026.0,29455789.0,3.48
2021,5-14,1056.0,29336558.0,3.6
2022,5-14,1028.0,29271964.0,3.51
2023,5-14,1056.0,29283643.0,3.61
2024,5-14,1039.0,29298975.0,3.55
2015,15-29,3616.0,51766716.0,6.99
2016,15-29,3651.0,51534818.0,7.08
2017,15-29,3368.0,51186829.0,6.58
2018,15-29,3426.0,50803219.0,6.74
2019,15-29,3448.0,50404221.0,6.84
2020,15-29,3240.0,50009995.0,6.48
2021,15-29,3256.0,49598399.0,6.56
2022,15-29,3411.0,49138060.0,6.94
2023,15-29,3386.0,48666677.0,6.96
2024,15-29,3425.0,48161680.0,7.11
2015,30-44,12933.0,46850760.0,27.6
2016,30-44,12997.0,47540769.0,27.34
2017,30-44,13365.0,48210593.0,27.72
2018,30-44,13401.0,48837659.0,27.44
2019,30-44,13649.0,49386173.0,27.64
2020,30-44,13483.0,49834935.0,27.06
2021,30-44,13583.0,50183786.0,27.07
2022,30-44,14040.0,50425744.0,27.84
2023,30-44,14223.0,50582096.0,28.12
2024,30-44,14552.0,50690277.0,28.71
2015,45-59,46802.0,34477565.0,135.75
2016,45-59,47302.0,35129307.0,134.65
2017,45-59,47590.0,35737135.0,133.17
2018,45-59,47856.0,36321310.0,131.76
2019,45-59,48002.0,36911516.0,130.05
2020,45-59,46317.0,37527585.0,123.42
2021,45-59,46530.0,38165380.0,121.92
2022,45-59,46951.0,38823484.0,120.93
2023,45-59,48308.0,39502812.0,122.29
2024,45-59,48409.0,40201961.0,120.41
2015,60-74,75637.0,18320935.0,412.84
2016,60-74,78623.0,19036089.0,413.02
2017,60-74,82083.0,19785116.0,414.87
2018,60-74,85304.0,20559730.0,414.91
2019,60-74,89268.0,21347978.0,418.16
2020,60-74,87001.0,22141635.0,392.93
2021,60-74,90013.0,22938809.0,392.4
2022,60-74,93583.0,23736535.0,394.26
2023,60-74,98856.0,24530048.0,403.0
2024,60-74,103118.0,25314168.0,407.35
2015,75+,65126.0,6717417.0,969.51
2016,75+,66894.0,6958360.0,961.35
2017,75+,69527.0,7205756.0,964.88
2018,75+,71991.0,7465572.0,964.31
2019,75+,74890.0,7747097.0,966.68
2020,75+,73198.0,8055442.0,908.68
2021,75+,75682.0,8391426.0,901.9
2022,75+,79004.0,8757230.0,902.16
2023,75+,83551.0,9149938.0,913.13
2024,75+,87989.0,9565046.0,919.9
