faixa_etaria,posicao,causabas_3,sitio,obitos,pct_da_faixa
0-4,1,C91,Leucemia linfoide,576.059639,20.3
0-4,2,C71,Neopl malig do encefalo,572.056693,20.2
0-4,3,C92,Leucemia mieloide,308.0,10.9
0-4,4,C74,Neopl malig da gland supra-renal,280.0,9.9
0-4,5,C72,Neop mal med esp nerv cran out sist nerv cen,176.0,6.2
5-14,1,C71,Neopl malig do encefalo,1209.113727,23.2
5-14,2,C91,Leucemia linfoide,1188.122254,22.8
5-14,3,C92,Leucemia mieloide,439.0,8.4
5-14,4,C41,Neopl malig ossos/cartil artic outr loc e NE,331.0378,6.4
5-14,5,C72,Neop mal med esp nerv cran out sist nerv cen,271.0,5.2
15-29,1,C71,Neopl malig do encefalo,1743.172157,10.4
15-29,2,C92,Leucemia mieloide,1286.0,7.7
15-29,3,C91,Leucemia linfoide,1254.122751,7.5
15-29,4,C53,Neopl malig do colo do utero,1018.028477,6.1
15-29,5,C41,Neopl malig ossos/cartil artic outr loc e NE,981.095553,5.9
30-44,1,C50,Neopl malig da mama,12324.515582,17.6
30-44,2,C53,Neopl malig do colo do utero,8312.234043,11.9
30-44,3,C16,Neopl malig do estomago,4557.559802,6.5
30-44,4,C71,Neopl malig do encefalo,4240.410895,6.1
30-44,5,C18,Neopl malig do colon,3602.048766,5.2
45-59,1,C50,Neopl malig da mama,29414.213119,12.4
45-59,2,C34,Neopl malig dos bronquios e dos pulmoes,22893.858833,9.7
45-59,3,C16,Neopl malig do estomago,14851.822483,6.3
45-59,4,C18,Neopl malig do colon,13644.189173,5.8
45-59,5,C15,Neopl malig do esofago,11489.93184,4.9
60-74,1,C34,Neopl malig dos bronquios e dos pulmoes,72949.79268,15.4
60-74,2,C50,Neopl malig da mama,31253.27534,6.6
60-74,3,C16,Neopl malig do estomago,28924.620851,6.1
60-74,4,C18,Neopl malig do colon,28610.393442,6.1
60-74,5,C25,Neopl malig do pancreas,27847.033685,5.9
75+,1,C61,Neopl malig da prostata,52434.881009,13.1
75+,2,C34,Neopl malig dos bronquios e dos pulmoes,51024.0533,12.8
75+,3,C18,Neopl malig do colon,25756.361433,6.4
75+,4,C50,Neopl malig da mama,23612.964499,5.9
75+,5,C16,Neopl malig do estomago,23312.919481,5.8
