sexo,posicao,causabas_3,sitio,obitos,pct_do_sexo
F,1,C50,Neopl malig da mama,96080.949755,16.5
F,2,C34,Neopl malig dos bronquios e dos pulmoes,68832.460091,11.8
F,3,C18,Neopl malig do colon,36951.512172,6.4
F,4,C53,Neopl malig do colo do utero,34917.997366,6.0
F,5,C25,Neopl malig do pancreas,32653.549568,5.6
F,6,C16,Neopl malig do estomago,26512.311811,4.6
F,7,C22,Neopl malig figado vias biliares intra-hepat,23204.826939,4.0
F,8,C56,Neopl malig do ovario,21183.999649,3.6
F,9,C71,Neopl malig do encefalo,20370.919331,3.5
F,10,C80,Neopl malig s/especificacao de localiz,14246.518337,2.5
M,1,C61,Neopl malig da prostata,83653.996888,13.5
M,2,C34,Neopl malig dos bronquios e dos pulmoes,81641.533943,13.1
M,3,C16,Neopl malig do estomago,45675.680954,7.3
M,4,C18,Neopl malig do colon,35130.486312,5.6
M,5,C15,Neopl malig do esofago,33324.477875,5.4
M,6,C25,Neopl malig do pancreas,31750.450737,5.1
M,7,C22,Neopl malig figado vias biliares intra-hepat,31657.174164,5.1
M,8,C71,Neopl malig do encefalo,22352.075409,3.6
M,9,C32,Neopl malig da laringe,20071.618857,3.2
M,10,C67,Neopl malig da bexiga,16919.0,2.7
