uf_sigla,obitos,taxa_bruta_100k,taxa_padronizada_100k,obitos_colo_utero,taxa_padr_colo_utero_100k
RS,61599.837214,182.9,152.0,1326.059752,3.62
SC,31771.038564,133.6,136.6,775.035787,3.24
PR,48928.13494,138.7,135.1,1162.058292,3.25
SP,181966.563095,132.3,126.3,3388.155536,2.38
MS,9493.617065,110.0,122.6,266.01091,3.33
RJ,70060.317581,135.7,120.6,1712.079276,3.13
ES,14755.984634,120.7,120.4,521.026217,4.25
RR,1441.102177,69.1,118.0,104.005861,7.18
CE,30532.104248,110.7,116.0,992.043802,3.77
AP,1625.116725,67.8,114.2,111.004125,6.18
GO,22366.422827,102.5,113.9,735.033001,3.54
DF,8707.536176,97.8,113.8,314.015603,3.7
RN,11455.771183,111.1,113.7,429.016899,4.25
AC,1922.147744,73.1,113.1,159.006253,8.59
MG,79085.446136,124.1,112.8,1491.069196,2.2
PE,30104.050459,105.5,111.8,1211.058827,4.44
MT,9889.650052,87.2,111.2,401.01957,4.09
AM,8949.619483,70.3,110.7,859.039455,9.55
RO,4581.32186,87.7,110.7,183.005722,4.17
PB,13484.972939,109.0,109.3,382.015304,3.16
BA,45374.128182,102.0,104.3,1489.067871,3.4
SE,6210.410149,90.7,102.7,236.011846,3.72
TO,4007.267809,85.2,102.4,186.010109,4.52
AL,8154.555464,84.4,97.7,429.019438,4.97
PI,9278.635701,91.9,94.7,497.023561,5.11
PA,17573.219942,68.0,92.7,1239.055911,6.03
MA,14330.01647,68.2,84.5,1087.049242,6.27
