causabas_3,sitio,obitos,taxa_Q1_menos_vulneravel,taxa_Q4_mais_vulneravel,razao_Q4_Q1
C44,Outr neopl malig da pele,10692.000484,1.54,2.18,1.42
C53,Neopl malig do colo do utero,21682.997233,3.2,4.07,1.27
C76,Neopl malig outr localiz e mal definidas,16159.000198,2.35,2.88,1.22
C15,Neopl malig do esofago,25733.002906,3.83,4.01,1.05
C61,Neopl malig da prostata,51507.999936,7.92,8.23,1.04
C16,Neopl malig do estomago,44076.994287,7.0,7.17,1.03
C32,Neopl malig da laringe,14001.00133,2.23,2.07,0.93
C22,Neopl malig figado vias biliares intra-hepat,33497.998729,5.57,4.54,0.81
C71,Neopl malig do encefalo,26190.000076,4.41,3.14,0.71
C26,Neopl malig outr mal def aparelho digestivo,13130.0,2.14,1.48,0.69
C34,Neopl malig dos bronquios e dos pulmoes,93089.996766,16.09,10.54,0.65
C24,Neopl malig outr partes e NE vias biliares,8656.999074,1.54,0.98,0.64
C56,Neopl malig do ovario,13226.0,2.4,1.39,0.58
C92,Leucemia mieloide,11495.0,2.07,1.2,0.58
C80,Neopl malig s/especificacao de localiz,17248.997633,3.02,1.73,0.57
C50,Neopl malig da mama,60886.99619,11.07,5.85,0.53
C90,Mieloma mult e neopl malig de plasmocitos,11845.0,2.18,1.08,0.5
C25,Neopl malig do pancreas,40531.002358,7.51,3.69,0.49
C64,Neopl malig do rim exceto pelve renal,12775.0,2.38,1.15,0.48
C67,Neopl malig da bexiga,15854.0,2.91,1.35,0.46
C20,Neopl malig do reto,18340.0,3.4,1.53,0.45
C85,Linfoma nao-Hodgkin de outr tipos e tipo NE,9172.0,1.71,0.76,0.45
C18,Neopl malig do colon,46490.998358,9.09,2.97,0.33
