causabas_3,descricao,obitos_15_49,obitos_60_mais,taxa_15_49_100k,taxa_60_mais_100k,log2_razao,ic95_inf,ic95_sup,razao_50_59_incluidos
C81,C81   Doenc de Hodgkin,731,765,0.22,0.77,1.82,1.67,1.97,1.73
C53,C53   Neopl malig do colo do utero,8123,9116,2.43,9.21,1.92,1.88,1.97,1.58
C49,C49   Neopl malig tec conjuntivo e outr tec moles,1380,2482,0.41,2.51,2.6,2.51,2.7,2.24
C91,C91   Leucemia linfoide,1509,3130,0.45,3.16,2.81,2.72,2.9,2.65
C41,C41   Neopl malig ossos/cartil artic outr loc e NE,1296,3368,0.39,3.4,3.13,3.04,3.23,2.68
C50,C50   Neopl malig da mama,13113,34613,3.92,34.96,3.16,3.13,3.19,2.44
C92,C92   Leucemia mieloide,2582,7116,0.77,7.19,3.22,3.15,3.29,2.89
C83,C83   Linfoma nao-Hodgkin difuso,624,1811,0.19,1.83,3.29,3.16,3.43,2.88
C71,C71   Neopl malig do encefalo,5112,15247,1.53,15.4,3.33,3.29,3.38,2.67
C72,C72   Neop mal med esp nerv cran out sist nerv cen,721,2166,0.22,2.19,3.34,3.22,3.47,2.71
C55,C55   Neopl malig do utero porcao NE,1077,3431,0.32,3.47,3.43,3.33,3.53,2.76
C38,C38   Neopl malig do coracao mediastino e pleura,497,1681,0.15,1.7,3.51,3.37,3.66,2.94
C56,C56   Neopl malig do ovario,2169,8330,0.65,8.41,3.7,3.63,3.77,2.82
C85,C85   Linfoma nao-Hodgkin de outr tipos e tipo NE,1456,6428,0.44,6.49,3.9,3.82,3.98,3.31
C95,C95   Leucemia de tipo celular NE,598,2781,0.18,2.81,3.97,3.85,4.1,3.57
C21,C21   Neopl malig do anus e do canal anal,377,1827,0.11,1.85,4.03,3.87,4.2,3.11
C43,C43   Melanoma malig da pele,865,4256,0.26,4.3,4.06,3.95,4.16,3.31
C48,C48   Neopl malig tec moles retro- e peritonio,730,3830,0.22,3.87,4.15,4.03,4.26,3.24
C02,C02   Neopl malig outr partes e NE da lingua,553,2936,0.17,2.96,4.16,4.03,4.3,2.89
C10,C10   Neopl malig da orofaringe,715,4402,0.21,4.45,4.38,4.26,4.49,2.83
C79,C79   Neopl malig secund de outr localiz,565,3483,0.17,3.52,4.38,4.25,4.51,3.42
C20,C20   Neopl malig do reto,2063,13090,0.62,13.22,4.42,4.36,4.49,3.36
C16,C16   Neopl malig do estomago,5061,32176,1.51,32.5,4.43,4.38,4.47,3.48
C76,C76   Neopl malig outr localiz e mal definidas,1731,11533,0.52,11.65,4.49,4.42,4.57,3.39
C19,C19   Neopl malig da juncao retossigmoide,586,4192,0.18,4.23,4.6,4.47,4.72,3.48
C06,C06   Neopl malig outr partes e partes NE da boca,311,2462,0.09,2.49,4.74,4.57,4.92,3.31
C18,C18   Neopl malig do colon,4399,35258,1.31,35.61,4.76,4.71,4.81,3.69
C80,C80   Neopl malig s/especificacao de localiz,1601,13055,0.48,13.19,4.78,4.71,4.86,3.69
C64,C64   Neopl malig do rim exceto pelve renal,1140,9466,0.34,9.56,4.81,4.72,4.9,3.63
C78,C78   Neopl malig secund org respirat e digestivos,602,5187,0.18,5.24,4.86,4.74,4.99,3.66
C17,C17   Neopl malig do intestino delgado,436,4029,0.13,4.07,4.96,4.82,5.11,3.89
C15,C15   Neopl malig do esofago,1961,18199,0.59,18.38,4.97,4.9,5.04,3.32
C26,C26   Neopl malig outr mal def aparelho digestivo,1061,10257,0.32,10.36,5.03,4.94,5.12,3.88
C22,C22   Neopl malig figado vias biliares intra-hepat,2411,26117,0.72,26.38,5.19,5.13,5.25,3.89
C54,C54   Neopl malig do corpo do utero,535,5911,0.16,5.97,5.22,5.09,5.35,3.87
C32,C32   Neopl malig da laringe,900,10231,0.27,10.33,5.26,5.17,5.36,3.49
C24,C24   Neopl malig outr partes e NE vias biliares,601,6848,0.18,6.92,5.27,5.15,5.39,3.97
C25,C25   Neopl malig do pancreas,2617,32188,0.78,32.51,5.38,5.32,5.44,3.99
C90,C90   Mieloma mult e neopl malig de plasmocitos,654,9483,0.2,9.58,5.61,5.5,5.73,4.05
C44,C44   Outr neopl malig da pele,518,9348,0.15,9.44,5.93,5.8,6.06,4.85
C34,C34   Neopl malig dos bronquios e dos pulmoes,4191,77507,1.25,78.28,5.97,5.92,6.01,4.36
C67,C67   Neopl malig da bexiga,370,14421,0.11,14.56,7.04,6.89,7.19,5.38
C61,C61   Neopl malig da prostata,300,49205,0.09,49.69,9.11,8.95,9.28,6.46
