quartil_ivs,sitio,casos_analiticos,pct_estadiamento_informado,pct_estadio_III_IV,estadio_ic95_inf,estadio_ic95_sup,pct_tratado_ate_60d,prazo_ic95_inf,prazo_ic95_sup
Q1,C16,28633,51.7,76.2,75.5,76.9,57.4,56.8,58.1
Q2,C16,10467,54.3,75.3,74.1,76.4,54.2,53.2,55.3
Q3,C16,7637,46.7,76.8,75.4,78.2,52.2,51.0,53.5
Q4,C16,6890,46.8,77.9,76.5,79.4,49.9,48.6,51.3
Q1,C18,39774,59.3,67.5,66.9,68.1,63.5,62.9,64.0
Q2,C18,10186,62.6,67.6,66.4,68.7,60.3,59.3,61.4
Q3,C18,5439,59.1,67.5,65.8,69.1,59.3,57.9,60.8
Q4,C18,3935,57.7,67.7,65.7,69.6,56.7,54.9,58.4
Q1,C34,39595,64.7,87.7,87.3,88.1,69.6,69.1,70.1
Q2,C34,10290,63.0,89.1,88.3,89.9,70.7,69.7,71.7
Q3,C34,6137,59.1,89.1,88.1,90.1,68.8,67.5,70.1
Q4,C34,4572,59.8,89.3,88.1,90.5,67.2,65.7,68.7
Q1,C42,33775,1.2,64.8,59.8,69.5,79.8,79.3,80.3
Q2,C42,11368,0.9,70.1,60.5,78.6,78.7,77.8,79.5
Q3,C42,7275,0.4,65.6,46.8,81.4,77.0,75.9,78.0
Q4,C42,6771,0.4,65.4,44.3,82.8,78.7,77.6,79.7
Q1,C44,174483,29.3,9.4,9.1,9.6,65.3,65.0,65.6
Q2,C44,56133,35.6,9.3,8.9,9.7,65.9,65.3,66.5
Q3,C44,35987,33.5,12.0,11.5,12.6,62.2,61.4,62.9
Q4,C44,30089,29.7,13.9,13.2,14.7,63.9,63.1,64.7
Q1,C50,147873,70.0,38.3,38.0,38.6,47.7,47.4,48.0
Q2,C50,43451,70.6,42.1,41.5,42.6,47.9,47.4,48.4
Q3,C50,25824,68.1,43.8,43.0,44.5,47.3,46.7,48.0
Q4,C50,20450,69.1,46.5,45.7,47.4,46.3,45.6,47.0
Q1,C53,56584,68.8,35.7,35.2,36.2,40.1,39.7,40.5
Q2,C53,20013,70.4,39.9,39.1,40.7,37.5,36.7,38.2
Q3,C53,15939,68.6,37.9,37.0,38.8,37.7,36.9,38.5
Q4,C53,13916,70.9,38.4,37.4,39.3,33.1,32.3,34.0
Q1,C61,103920,53.8,39.4,39.0,39.8,30.6,30.2,30.9
Q2,C61,35143,57.4,39.9,39.2,40.6,31.3,30.8,31.8
Q3,C61,24752,56.8,43.8,43.0,44.6,29.7,29.1,30.4
Q4,C61,19679,54.5,49.7,48.8,50.7,28.5,27.8,29.2
