regiao,quartil_ivs,casos_com_prazo,tratados_ate_60d,pct_tratado_ate_60d,ic95_inf,ic95_sup
Centro-Oeste,Q1,42888.0,23933.0,55.8,55.3,56.3
Centro-Oeste,Q2,10400.0,5656.0,54.4,53.4,55.3
Centro-Oeste,Q3,2530.0,1367.0,54.0,52.1,56.0
Centro-Oeste,Q4,382.0,177.0,46.3,41.2,51.5
Nordeste,Q1,137167.0,78381.0,57.1,56.9,57.4
Nordeste,Q2,88333.0,48043.0,54.4,54.1,54.7
Nordeste,Q3,74102.0,37763.0,51.0,50.6,51.3
Nordeste,Q4,85327.0,43483.0,51.0,50.6,51.3
Norte,Q1,20154.0,8984.0,44.6,43.9,45.3
Norte,Q2,15077.0,6857.0,45.5,44.7,46.3
Norte,Q3,26307.0,12778.0,48.6,48.0,49.2
Norte,Q4,13418.0,5949.0,44.3,43.5,45.2
Sudeste,Q1,231323.0,115255.0,49.8,49.6,50.0
Sudeste,Q2,54100.0,25369.0,46.9,46.5,47.3
Sudeste,Q3,24306.0,11533.0,47.4,46.8,48.1
Sudeste,Q4,11032.0,4773.0,43.3,42.3,44.2
Sul,Q1,260464.0,153445.0,58.9,58.7,59.1
Sul,Q2,45268.0,26953.0,59.5,59.1,60.0
Sul,Q3,13855.0,7759.0,56.0,55.2,56.8
Sul,Q4,5293.0,2988.0,56.5,55.1,57.8
