modelo,horizonte_meses,n_previsoes,n_hospitais,mae,rmse,smape_pct,wape_pct,mase,cobertura_ic95_pct,largura_ic_pct_da_previsao,z_empirico_p95,fator_alargamento_necessario
media_movel_3,1,50478,4445,35.4267997939696,75.69573979950754,20.157326217877227,12.959828585421697,0.7624812442809343,92.09754744641229,103.80925947476918,2.3042980592351365,1.17568387858713
naive,1,50478,4445,38.03229129521772,83.46801225198499,21.796375553460802,13.91296924258872,0.8236444036786925,92.48187329133484,125.71092913107988,2.2815095904863423,1.1640568951687882
seasonal_naive,1,50478,4445,53.08722611830897,116.69752620060115,28.963794650602523,19.420364090744613,1.0381358113547545,89.37556955505369,146.14419490655095,2.518799465100091,1.2851253823886866
snaive_drift,1,50478,4445,51.65405616564551,114.44340135543187,29.45753611154641,18.896081992776033,1.0216335133398742,90.64939181425572,163.10294729142345,2.398954296427375,1.223978764584462
tendencia_linear,1,50478,4445,39.236618396908824,81.7558894819963,22.328244889324083,14.353536070229506,0.8099495712862469,90.81183882087245,103.93166788215977,2.422163636626167,1.2358204822802281
tendencia_linear_publicada,1,50478,4445,39.23431968690877,81.75476034615141,22.323989902505605,14.352695156352398,0.8098188398004399,89.03086493125718,96.67216258958517,2.5971695663251197,1.3251108626542436
tendencia_sazonal,1,50412,4438,46.58460757053609,99.25799197367893,26.570232428749915,17.026723272342768,0.9366026256167963,91.02541212878653,129.71508224364632,2.3758800460311473,1.2122059715238576
media_movel_3,2,46074,4427,39.187987440494304,82.25556986172894,21.894259531271146,14.221192410669028,0.8458716338782292,95.96518643920649,140.0436139823025,1.827057622909969,0.9321893857854362
naive,2,46074,4427,42.54319138776751,90.27812468615278,24.033834634982888,15.438784944188699,0.9244185425336227,95.89573295133916,167.3129407525371,1.831074444381864,0.9342388221544609
seasonal_naive,2,46074,4427,53.338357859096234,117.65105482057956,28.795698103672446,19.356315532537597,1.0561758136531378,88.73551243651517,143.98793260022615,2.6037299240226615,1.3284580454337687
snaive_drift,2,46074,4427,53.379293209243215,118.57897403112919,30.012146486658953,19.371170837156704,1.0606821062551397,89.22602769457829,169.52026342931288,2.548317698000418,1.3001859820390695
tendencia_linear,2,46074,4427,41.76530442080638,86.53148199311762,23.57900103096584,15.156492309291236,0.8667483234899581,88.94821374310891,108.73819870161046,2.635236853997455,1.344533305093291
tendencia_linear_publicada,2,46074,4427,41.7668616157504,86.53395272253576,23.58602065003107,15.157057410240942,0.8667212122142648,86.78647393323783,100.69839931940734,2.8492449636590265,1.453723122533632
tendencia_sazonal,2,46013,4420,48.7549807698892,103.75695882955448,27.365831977101855,17.678083433397674,0.9815642332780182,89.42038119661835,185816.31870587912,2.539533549264846,1.2957041911465532
media_movel_3,3,41700,4400,41.82855315747397,86.35980659452609,23.178409273465927,15.025755186945258,0.9171449349527927,97.14868105515588,165.7011475632858,1.6106955661867342,0.8217985528773464
naive,3,41700,4400,46.05611510791367,95.36351780202918,25.651610842344756,16.54439033231608,1.012919796497129,97.0863309352518,198.93025604744483,1.6288011403857265,0.8310362604790201
seasonal_naive,3,41700,4400,53.73363309352518,118.04856347846227,28.632287241432177,19.302327123982398,1.0808925416779716,88.26139088729016,142.00707753697324,2.6839504314377107,1.3693876278382509
snaive_drift,3,41700,4400,55.064375186601644,122.15535062596713,30.52678198242966,19.780359553941246,1.1049875745926598,87.91606714628297,170.1382636233567,2.6763214677966602,1.365495227926198
tendencia_linear,3,41700,4400,43.94392917728964,90.31516960401807,24.679788133770916,15.785645735452205,0.9224289310357505,87.5251798561151,109.15380173504468,2.795146311267984,1.426121262082233
tendencia_linear_publicada,3,41700,4400,43.9493692106241,90.32268499184562,24.68627112920856,15.787599917534111,0.922485345447174,84.95443645083932,100.51702567617465,3.05265619747419,1.5575062713157757
tendencia_sazonal,3,41644,4389,50.83047179995746,107.88516059276441,28.094820959740712,18.24524687540853,1.0315370555230405,88.04303450925771,41414.773663463384,2.6849338192733785,1.3698893655453845
